full_description,Connector,Action,Description
The connector named microsoft graph api connector test has an action named microsoft_graph_id_auths_password_list_methods which can be used for following - List Password Authentication Methods,microsoft graph api connector test,microsoft_graph_id_auths_password_list_methods,List Password Authentication Methods
The connector named microsoft graph api connector test has an action named microsoft_graph_id_auths_password_reset which can be used for following - Reset User Password,microsoft graph api connector test,microsoft_graph_id_auths_password_reset,Reset User Password
The connector named microsoft graph api connector test has an action named microsoft_graph_id_dir_get_device_reg_users_list which can be used for following - Get Identity Directory Registered Users List,microsoft graph api connector test,microsoft_graph_id_dir_get_device_reg_users_list,Get Identity Directory Registered Users List
The connector named microsoft graph api connector test has an action named microsoft_graph_id_dir_obj_get_do_by_id_list which can be used for following - Get Identity Directory Objects by IDs List,microsoft graph api connector test,microsoft_graph_id_dir_obj_get_do_by_id_list,Get Identity Directory Objects by IDs List
The connector named microsoft graph api connector test has an action named microsoft_graph_id_directory_del_device_reg_user which can be used for following - Delete Identity Directory Device Registered User,microsoft graph api connector test,microsoft_graph_id_directory_del_device_reg_user,Delete Identity Directory Device Registered User
The connector named microsoft graph api connector test has an action named microsoft_graph_id_directory_device_del_device which can be used for following - Delete Identity Directory Device,microsoft graph api connector test,microsoft_graph_id_directory_device_del_device,Delete Identity Directory Device
The connector named microsoft graph api connector test has an action named microsoft_graph_id_directory_device_get_device which can be used for following - Get Identity Directory Device,microsoft graph api connector test,microsoft_graph_id_directory_device_get_device,Get Identity Directory Device
The connector named microsoft graph api connector test has an action named microsoft_graph_id_directory_device_post_device which can be used for following - Create Identity Directory Device,microsoft graph api connector test,microsoft_graph_id_directory_device_post_device,Create Identity Directory Device
The connector named microsoft graph api connector test has an action named microsoft_graph_id_directory_device_post_reg_user which can be used for following - Add Identity Directory Device Registered User,microsoft graph api connector test,microsoft_graph_id_directory_device_post_reg_user,Add Identity Directory Device Registered User
The connector named microsoft graph api connector test has an action named microsoft_graph_id_directory_get_device_groups which can be used for following - Get Identity Directory Device Group List,microsoft graph api connector test,microsoft_graph_id_directory_get_device_groups,Get Identity Directory Device Group List
The connector named microsoft graph api connector test has an action named microsoft_graph_id_directory_get_device_list which can be used for following - Get Identity Directory Device List,microsoft graph api connector test,microsoft_graph_id_directory_get_device_list,Get Identity Directory Device List
The connector named microsoft graph api connector test has an action named microsoft_graph_id_directory_role_post_member which can be used for following - Add Identity Directory Role Member,microsoft graph api connector test,microsoft_graph_id_directory_role_post_member,Add Identity Directory Role Member
The connector named microsoft graph api connector test has an action named microsoft_graph_id_directory_roles_del_assignment which can be used for following - Delete Identity Directory Role Assignment,microsoft graph api connector test,microsoft_graph_id_directory_roles_del_assignment,Delete Identity Directory Role Assignment
The connector named microsoft graph api connector test has an action named microsoft_graph_id_directory_roles_mgmt_post_role which can be used for following - Create Identity Directory Role Management,microsoft graph api connector test,microsoft_graph_id_directory_roles_mgmt_post_role,Create Identity Directory Role Management
The connector named microsoft graph api connector test has an action named microsoft_graph_id_directory_unit_add_member which can be used for following - Add member to Directory Administrative Unit,microsoft graph api connector test,microsoft_graph_id_directory_unit_add_member,Add member to Directory Administrative Unit
The connector named microsoft graph api connector test has an action named microsoft_graph_id_directory_unit_del_member which can be used for following - Delete Directory Administrative Unit Member,microsoft graph api connector test,microsoft_graph_id_directory_unit_del_member,Delete Directory Administrative Unit Member
The connector named microsoft graph api connector test has an action named microsoft_graph_id_directory_unit_get_list which can be used for following - Get Directory Administrative Unit List,microsoft graph api connector test,microsoft_graph_id_directory_unit_get_list,Get Directory Administrative Unit List
The connector named microsoft graph api connector test has an action named microsoft_graph_id_directory_unit_get_member which can be used for following - Get Directory Administrative Unit Member,microsoft graph api connector test,microsoft_graph_id_directory_unit_get_member,Get Directory Administrative Unit Member
The connector named microsoft graph api connector test has an action named microsoft_graph_id_directory_unit_get_member_list which can be used for following - Get Directory Administrative Unit Member List,microsoft graph api connector test,microsoft_graph_id_directory_unit_get_member_list,Get Directory Administrative Unit Member List
The connector named microsoft graph api connector test has an action named microsoft_graph_id_directory_unit_get_unit which can be used for following - Get Directory Administrative Unit,microsoft graph api connector test,microsoft_graph_id_directory_unit_get_unit,Get Directory Administrative Unit
The connector named microsoft graph api connector test has an action named microsoft_graph_id_role_del_member which can be used for following - Delete Identity Directory Role Member,microsoft graph api connector test,microsoft_graph_id_role_del_member,Delete Identity Directory Role Member
The connector named microsoft graph api connector test has an action named microsoft_graph_id_role_get_role which can be used for following - Get Identity Directory Role,microsoft graph api connector test,microsoft_graph_id_role_get_role,Get Identity Directory Role
The connector named microsoft graph api connector test has an action named microsoft_graph_id_roles_get_assignment which can be used for following - Get Identity Directory Role Assignment,microsoft graph api connector test,microsoft_graph_id_roles_get_assignment,Get Identity Directory Role Assignment
The connector named microsoft graph api connector test has an action named microsoft_graph_id_roles_management_del_role which can be used for following - Delete Identity Directory Role Management,microsoft graph api connector test,microsoft_graph_id_roles_management_del_role,Delete Identity Directory Role Management
The connector named microsoft graph api connector test has an action named microsoft_graph_id_roles_management_get_list which can be used for following - Get Identity Directory Role Management List,microsoft graph api connector test,microsoft_graph_id_roles_management_get_list,Get Identity Directory Role Management List
The connector named microsoft graph api connector test has an action named microsoft_graph_id_roles_management_get_role which can be used for following - Get Identity Directory Role Management,microsoft graph api connector test,microsoft_graph_id_roles_management_get_role,Get Identity Directory Role Management
The connector named microsoft graph api connector test has an action named microsoft_graph_identity_directory_domain_del_domain which can be used for following - Deletes a domain from a tenant,microsoft graph api connector test,microsoft_graph_identity_directory_domain_del_domain,Deletes a domain from a tenant
The connector named microsoft graph api connector test has an action named microsoft_graph_identity_directory_domains_get_domain which can be used for following - Retrieve the properties and relationships of domain object,microsoft graph api connector test,microsoft_graph_identity_directory_domains_get_domain,Retrieve the properties and relationships of domain object
The connector named microsoft graph api connector test has an action named microsoft_graph_identity_directory_domains_get_domains_list which can be used for following - Retrieve a list of domain objects,microsoft graph api connector test,microsoft_graph_identity_directory_domains_get_domains_list,Retrieve a list of domain objects
The connector named microsoft graph api connector test has an action named microsoft_graph_identity_directory_domains_post_domain which can be used for following - Adds a domain to the tenant,microsoft graph api connector test,microsoft_graph_identity_directory_domains_post_domain,Adds a domain to the tenant
The connector named microsoft graph api connector test has an action named microsoft_graph_identity_directory_object_get_do which can be used for following - Get Identity Directory Object,microsoft graph api connector test,microsoft_graph_identity_directory_object_get_do,Get Identity Directory Object
The connector named microsoft graph api connector test has an action named microsoft_graph_identity_directory_role_get_members_list which can be used for following - Retrieve the list of principals that are assigned to the directory role,microsoft graph api connector test,microsoft_graph_identity_directory_role_get_members_list,Retrieve the list of principals that are assigned to the directory role
The connector named microsoft graph api connector test has an action named microsoft_graph_security_api_actions_cancel_action which can be used for following - Cancel Security Action,microsoft graph api connector test,microsoft_graph_security_api_actions_cancel_action,Cancel Security Action
The connector named microsoft graph api connector test has an action named microsoft_graph_security_api_actions_create_action which can be used for following - Create Security Action,microsoft graph api connector test,microsoft_graph_security_api_actions_create_action,Create Security Action
The connector named microsoft graph api connector test has an action named microsoft_graph_security_api_actions_get_action which can be used for following - Get Security Action,microsoft graph api connector test,microsoft_graph_security_api_actions_get_action,Get Security Action
The connector named microsoft graph api connector test has an action named microsoft_graph_security_api_actions_list_actions which can be used for following - Get Security Actions List,microsoft graph api connector test,microsoft_graph_security_api_actions_list_actions,Get Security Actions List
The connector named microsoft graph api connector test has an action named microsoft_graph_security_api_get_alert which can be used for following - Get an Alert from the Microsoft Graph Security API,microsoft graph api connector test,microsoft_graph_security_api_get_alert,Get an Alert from the Microsoft Graph Security API
The connector named microsoft graph api connector test has an action named microsoft_graph_security_api_list_alerts which can be used for following - List Alerts from the Microsoft Graph Security API,microsoft graph api connector test,microsoft_graph_security_api_list_alerts,List Alerts from the Microsoft Graph Security API
The connector named microsoft graph api connector test has an action named microsoft_graph_security_api_secure_scores_get_control_profile which can be used for following - Get Control Profile,microsoft graph api connector test,microsoft_graph_security_api_secure_scores_get_control_profile,Get Control Profile
The connector named microsoft graph api connector test has an action named microsoft_graph_security_api_secure_scores_get_list which can be used for following - Get Secure Scores List,microsoft graph api connector test,microsoft_graph_security_api_secure_scores_get_list,Get Secure Scores List
The connector named microsoft graph api connector test has an action named microsoft_graph_security_api_secure_scores_get_list_control_profiles which can be used for following - Get Secure Control Profiles List,microsoft graph api connector test,microsoft_graph_security_api_secure_scores_get_list_control_profiles,Get Secure Control Profiles List
The connector named microsoft graph api connector test has an action named microsoft_graph_security_api_secure_scores_get_score which can be used for following - Get Secure Score,microsoft graph api connector test,microsoft_graph_security_api_secure_scores_get_score,Get Secure Score
The connector named microsoft graph api connector test has an action named microsoft_graph_security_api_threat_assessment which can be used for following - Get Threat Assessment,microsoft graph api connector test,microsoft_graph_security_api_threat_assessment,Get Threat Assessment
The connector named microsoft graph api connector test has an action named microsoft_graph_security_api_threat_assessments which can be used for following - Get Threat Assessment List,microsoft graph api connector test,microsoft_graph_security_api_threat_assessments,Get Threat Assessment List
The connector named microsoft graph api connector test has an action named microsoft_graph_security_api_ti_del_indicator which can be used for following - Delete Threat Intelligence Indicator,microsoft graph api connector test,microsoft_graph_security_api_ti_del_indicator,Delete Threat Intelligence Indicator
The connector named microsoft graph api connector test has an action named microsoft_graph_security_api_ti_get_indicator which can be used for following - Get Threat Intelligence Indicator,microsoft graph api connector test,microsoft_graph_security_api_ti_get_indicator,Get Threat Intelligence Indicator
The connector named microsoft graph api connector test has an action named microsoft_graph_security_api_ti_get_indicators which can be used for following - Get Threat Intelligence Indicators List,microsoft graph api connector test,microsoft_graph_security_api_ti_get_indicators,Get Threat Intelligence Indicators List
The connector named microsoft graph api connector test has an action named microsoft_graph_security_api_update_alert which can be used for following - Update an Alert from the Microsoft Graph Security API,microsoft graph api connector test,microsoft_graph_security_api_update_alert,Update an Alert from the Microsoft Graph Security API
The connector named microsoft graph api connector test has an action named microsoft_graph_security_create_indicator_azure which can be used for following - Create Threat Intelligence Indicator for Azure Sentinel,microsoft graph api connector test,microsoft_graph_security_create_indicator_azure,Create Threat Intelligence Indicator for Azure Sentinel
The connector named microsoft graph api connector test has an action named microsoft_graph_security_create_indicator_defender which can be used for following - Create Threat Intelligence Indicator for Microsoft Defender,microsoft graph api connector test,microsoft_graph_security_create_indicator_defender,Create Threat Intelligence Indicator for Microsoft Defender
The connector named microsoft graph api connector test has an action named microsoft_graph_security_ed_get_case which can be used for following - Read the properties and relationships of an ediscoveryCase object.,microsoft graph api connector test,microsoft_graph_security_ed_get_case,Read the properties and relationships of an ediscoveryCase object.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_ed_list_cases which can be used for following - Get a list of the ediscoveryCase objects and their properties.,microsoft graph api connector test,microsoft_graph_security_ed_list_cases,Get a list of the ediscoveryCase objects and their properties.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_ed_list_custodians which can be used for following - Get a list of the custodian objects and their properties.,microsoft graph api connector test,microsoft_graph_security_ed_list_custodians,Get a list of the custodian objects and their properties.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_ed_list_operations which can be used for following - Get a list of the caseOperation objects and their properties.,microsoft graph api connector test,microsoft_graph_security_ed_list_operations,Get a list of the caseOperation objects and their properties.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_ed_list_reviewsets which can be used for following - Get a list of ediscoveryReviewSet objects associated with an eDiscovery case.,microsoft graph api connector test,microsoft_graph_security_ed_list_reviewsets,Get a list of ediscoveryReviewSet objects associated with an eDiscovery case.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_ed_list_searches which can be used for following - Get the list of ediscoverySearch resources from an eDiscoveryCase object.,microsoft graph api connector test,microsoft_graph_security_ed_list_searches,Get the list of ediscoverySearch resources from an eDiscoveryCase object.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_ed_list_tags which can be used for following - Get a list of eDiscoveryReviewTag objects and their properties.,microsoft graph api connector test,microsoft_graph_security_ed_list_tags,Get a list of eDiscoveryReviewTag objects and their properties.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_get_incident which can be used for following - Retrieve the properties and relationships of an incident object.,microsoft graph api connector test,microsoft_graph_security_get_incident,Retrieve the properties and relationships of an incident object.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_get_repeat_offenders which can be used for following - List the tenant users who have yielded to attacks more than once in attack simulation and training campaigns.,microsoft graph api connector test,microsoft_graph_security_get_repeat_offenders,List the tenant users who have yielded to attacks more than once in attack simulation and training campaigns.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_get_simulation which can be used for following - Get an attack simulation campaign for a tenant.,microsoft graph api connector test,microsoft_graph_security_get_simulation,Get an attack simulation campaign for a tenant.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_get_simulation_auto which can be used for following - Get an attack simulation automation for a tenant.,microsoft graph api connector test,microsoft_graph_security_get_simulation_auto,Get an attack simulation automation for a tenant.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_get_simulation_cov_users which can be used for following - List training coverage for each tenant user in attack simulation and training campaigns.,microsoft graph api connector test,microsoft_graph_security_get_simulation_cov_users,List training coverage for each tenant user in attack simulation and training campaigns.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_get_simulation_overview which can be used for following - Get an overview of an attack simulation and training campaign.,microsoft graph api connector test,microsoft_graph_security_get_simulation_overview,Get an overview of an attack simulation and training campaign.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_get_training_cov_users which can be used for following - List training coverage for tenant users in attack simulation and training campaigns.,microsoft graph api connector test,microsoft_graph_security_get_training_cov_users,List training coverage for tenant users in attack simulation and training campaigns.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_list_incidents which can be used for following - Get a list of incident objects that Microsoft 365 Defender has created to track attacks in an organization.,microsoft graph api connector test,microsoft_graph_security_list_incidents,Get a list of incident objects that Microsoft 365 Defender has created to track attacks in an organization.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_list_simulation_auto which can be used for following - Get a list of attack simulation automations for a tenant.,microsoft graph api connector test,microsoft_graph_security_list_simulation_auto,Get a list of attack simulation automations for a tenant.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_list_simulation_users which can be used for following - List users of a tenant and their online actions in an attack simulation campaign.,microsoft graph api connector test,microsoft_graph_security_list_simulation_users,List users of a tenant and their online actions in an attack simulation campaign.
The connector named microsoft graph api connector test has an action named microsoft_graph_security_list_simulations which can be used for following - Get a list of attack simulation campaigns for a tenant.,microsoft graph api connector test,microsoft_graph_security_list_simulations,Get a list of attack simulation campaigns for a tenant.
"The connector named microsoft graph api connector test has an action named microsoft_graph_security_run_hunting_query which can be used for following - Queries a specified set of event, activity, or entity data supported by Microsoft 365 Defender to proactively look for specific threats in your environment.",microsoft graph api connector test,microsoft_graph_security_run_hunting_query,"Queries a specified set of event, activity, or entity data supported by Microsoft 365 Defender to proactively look for specific threats in your environment."
The connector named microsoft graph api connector test has an action named microsoft_graph_security_threat_assessment_email which can be used for following - Post Email,microsoft graph api connector test,microsoft_graph_security_threat_assessment_email,Post Email
The connector named microsoft graph api connector test has an action named microsoft_graph_security_threat_assessment_file which can be used for following - Post File,microsoft graph api connector test,microsoft_graph_security_threat_assessment_file,Post File
The connector named microsoft graph api connector test has an action named microsoft_graph_security_threat_assessment_uri which can be used for following - Post URI,microsoft graph api connector test,microsoft_graph_security_threat_assessment_uri,Post URI
The connector named microsoft graph api connector test has an action named microsoft_graph_security_threat_assessment_url which can be used for following - Create URL Threat Assessment,microsoft graph api connector test,microsoft_graph_security_threat_assessment_url,Create URL Threat Assessment
The connector named microsoft graph api connector test has an action named move_email which can be used for following - Move a message to another folder within the specified users mailbox. This creates a new copy of the message in the destination folder and removes the original message,microsoft graph api connector test,move_email,Move a message to another folder within the specified users mailbox. This creates a new copy of the message in the destination folder and removes the original message
The connector named microsoft graph api connector test has an action named reply_to_email which can be used for following - Send a reply message on an email,microsoft graph api connector test,reply_to_email,Send a reply message on an email
The connector named microsoft graph api connector test has an action named send_email which can be used for following - Send an email,microsoft graph api connector test,send_email,Send an email
The connector named microsoft graph api connector test has an action named oauth2_client_credentials which can be used for following - Authenticates using oauth 2.0 client credentials,microsoft graph api connector test,oauth2_client_credentials,Authenticates using oauth 2.0 client credentials
The connector named microsoft graph api connector test has an action named connector which can be used for following - Microsoft Graph API Connector,microsoft graph api connector test,connector,Microsoft Graph API Connector
The connector named swimlane data converter has an action named convert_json_to_xml which can be used for following - Converts a valid JSON to a valid XML,swimlane data converter,convert_json_to_xml,Converts a valid JSON to a valid XML
The connector named swimlane data converter has an action named convert_xml_to_json which can be used for following - Converts a valid XML to a valid JSON,swimlane data converter,convert_xml_to_json,Converts a valid XML to a valid JSON
The connector named swimlane data converter has an action named connector which can be used for following - Converts data from one format to another,swimlane data converter,connector,Converts data from one format to another
The connector named elasticsearch v7 has an action named create_document which can be used for following - Create Document,elasticsearch v7,create_document,Create Document
The connector named elasticsearch v7 has an action named delete_document which can be used for following - Delete Document,elasticsearch v7,delete_document,Delete Document
The connector named elasticsearch v7 has an action named search_index which can be used for following - Search Index,elasticsearch v7,search_index,Search Index
The connector named elasticsearch v7 has an action named http_basic which can be used for following - Authenticates using username and password.,elasticsearch v7,http_basic,Authenticates using username and password.
The connector named elasticsearch v7 has an action named connector which can be used for following - Elasticsearch V7 Connector,elasticsearch v7,connector,Elasticsearch V7 Connector
The connector named qualys vulnerability scanner has an action named get_compliance_control_list which can be used for following - Get Compliance Control List,qualys vulnerability scanner,get_compliance_control_list,Get Compliance Control List
The connector named qualys vulnerability scanner has an action named get_compliance_scan which can be used for following - Get Compliance Scan,qualys vulnerability scanner,get_compliance_scan,Get Compliance Scan
The connector named qualys vulnerability scanner has an action named get_host_detections which can be used for following - Get Host Detections,qualys vulnerability scanner,get_host_detections,Get Host Detections
The connector named qualys vulnerability scanner has an action named get_hosts which can be used for following - Get Hosts,qualys vulnerability scanner,get_hosts,Get Hosts
The connector named qualys vulnerability scanner has an action named get_scan_summary which can be used for following - Get Scan Summary,qualys vulnerability scanner,get_scan_summary,Get Scan Summary
The connector named qualys vulnerability scanner has an action named get_vm_scan which can be used for following - Performs an scan action,qualys vulnerability scanner,get_vm_scan,Performs an scan action
The connector named qualys vulnerability scanner has an action named get_vm_scan_summary which can be used for following - Qualys Get VM Scan Summary,qualys vulnerability scanner,get_vm_scan_summary,Qualys Get VM Scan Summary
The connector named qualys vulnerability scanner has an action named launch_compliance_scan which can be used for following - Launch Compliance Scan,qualys vulnerability scanner,launch_compliance_scan,Launch Compliance Scan
The connector named qualys vulnerability scanner has an action named list_asset_groups which can be used for following - Get Asset Groups,qualys vulnerability scanner,list_asset_groups,Get Asset Groups
The connector named qualys vulnerability scanner has an action named list_compliance_policy which can be used for following - List Compliance Policy,qualys vulnerability scanner,list_compliance_policy,List Compliance Policy
The connector named qualys vulnerability scanner has an action named list_ips which can be used for following - Get IPs,qualys vulnerability scanner,list_ips,Get IPs
The connector named qualys vulnerability scanner has an action named list_networks which can be used for following - Get Networks,qualys vulnerability scanner,list_networks,Get Networks
The connector named qualys vulnerability scanner has an action named list_restricted_ips which can be used for following - List Restricted IPs,qualys vulnerability scanner,list_restricted_ips,List Restricted IPs
The connector named qualys vulnerability scanner has an action named list_scap_policy which can be used for following - List SCAP Policy,qualys vulnerability scanner,list_scap_policy,List SCAP Policy
The connector named qualys vulnerability scanner has an action named list_scap_scans which can be used for following - Get SCAP Scans,qualys vulnerability scanner,list_scap_scans,Get SCAP Scans
The connector named qualys vulnerability scanner has an action named list_virtual_hosts which can be used for following - List Virtual Hosts,qualys vulnerability scanner,list_virtual_hosts,List Virtual Hosts
The connector named qualys vulnerability scanner has an action named list_vm_scans which can be used for following - List VM scans in the users account. By default scans launched in the past 30 days are listed.,qualys vulnerability scanner,list_vm_scans,List VM scans in the users account. By default scans launched in the past 30 days are listed.
The connector named qualys vulnerability scanner has an action named manage_vm_scans which can be used for following - Qualys manage vm scans,qualys vulnerability scanner,manage_vm_scans,Qualys manage vm scans
The connector named qualys vulnerability scanner has an action named patch_list which can be used for following - Patch Host List,qualys vulnerability scanner,patch_list,Patch Host List
The connector named qualys vulnerability scanner has an action named apikey which can be used for following - Authenticates using an API Key,qualys vulnerability scanner,apikey,Authenticates using an API Key
The connector named qualys vulnerability scanner has an action named connector which can be used for following - Qualys vulnerability scanning.,qualys vulnerability scanner,connector,Qualys vulnerability scanning.
The connector named slack has an action named broadcast_message which can be used for following - Sends a message to a channel.,slack,broadcast_message,Sends a message to a channel.
The connector named slack has an action named conversations_archive which can be used for following - Archives a conversation.,slack,conversations_archive,Archives a conversation.
The connector named slack has an action named conversations_create which can be used for following - Initiates a public or private channel-based conversation,slack,conversations_create,Initiates a public or private channel-based conversation
The connector named slack has an action named conversations_history which can be used for following - Fetches a conversations history of messages and events.,slack,conversations_history,Fetches a conversations history of messages and events.
The connector named slack has an action named conversations_invite which can be used for following - Invites users to a channel.,slack,conversations_invite,Invites users to a channel.
The connector named slack has an action named conversations_kick which can be used for following - Removes a user from a conversation.,slack,conversations_kick,Removes a user from a conversation.
The connector named slack has an action named conversations_list which can be used for following - Lists all channels in a Slack team.,slack,conversations_list,Lists all channels in a Slack team.
The connector named slack has an action named conversations_members which can be used for following - Retrieve members of a conversation.,slack,conversations_members,Retrieve members of a conversation.
The connector named slack has an action named update_message which can be used for following - Updates message,slack,update_message,Updates message
"The connector named slack has an action named url_verification_handshake which can be used for following - When setting up a webkhook, its necessary to verify the challenge sent by Slack",slack,url_verification_handshake,"When setting up a webkhook, its necessary to verify the challenge sent by Slack"
The connector named slack has an action named users_list which can be used for following - Lists all users in a Slack team.,slack,users_list,Lists all users in a Slack team.
The connector named slack has an action named apikey which can be used for following - Authenticates using an API Key,slack,apikey,Authenticates using an API Key
"The connector named slack has an action named http_bearer which can be used for following - Authenticates using bearer token such as a JWT, etc.",slack,http_bearer,"Authenticates using bearer token such as a JWT, etc."
The connector named slack has an action named connector which can be used for following - Slack,slack,connector,Slack
The connector named nist has an action named cpes_get which can be used for following - Retrieve information on a single CPE record or a collection of CPE records from the Official CPE Dictionary,nist,cpes_get,Retrieve information on a single CPE record or a collection of CPE records from the Official CPE Dictionary
The connector named nist has an action named cves_get which can be used for following - Retrieve information on a single CVE or a collection of CVE,nist,cves_get,Retrieve information on a single CVE or a collection of CVE
The connector named nist has an action named connector which can be used for following - This connector provides a way of accessing CVE and CPE information. All information is gathered from the National Vulnerability Database,nist,connector,This connector provides a way of accessing CVE and CPE information. All information is gathered from the National Vulnerability Database
The connector named elasticsearch has an action named create_document which can be used for following - Create Document,elasticsearch,create_document,Create Document
The connector named elasticsearch has an action named delete_document which can be used for following - Delete Document,elasticsearch,delete_document,Delete Document
The connector named elasticsearch has an action named search_index which can be used for following - Search Index,elasticsearch,search_index,Search Index
The connector named elasticsearch has an action named http_basic which can be used for following - Authenticates using username and password.,elasticsearch,http_basic,Authenticates using username and password.
The connector named elasticsearch has an action named connector which can be used for following - ElasticSearch v8 Connector,elasticsearch,connector,ElasticSearch v8 Connector
The connector named elastic kibana v7 has an action named cases_find which can be used for following - Retrieves a paginated subset of cases,elastic kibana v7,cases_find,Retrieves a paginated subset of cases
The connector named elastic kibana v7 has an action named cases_get which can be used for following - Returns the specified case,elastic kibana v7,cases_get,Returns the specified case
The connector named elastic kibana v7 has an action named cases_get_all_activity which can be used for following - Returns all user activity for the specified case,elastic kibana v7,cases_get_all_activity,Returns all user activity for the specified case
"The connector named elastic kibana v7 has an action named cases_get_configuration which can be used for following - Retrieves external connection details, such as the closure type and default connector for cases",elastic kibana v7,cases_get_configuration,"Retrieves external connection details, such as the closure type and default connector for cases"
The connector named elastic kibana v7 has an action named connectors_find which can be used for following - Retrieves information about connectors,elastic kibana v7,connectors_find,Retrieves information about connectors
The connector named elastic kibana v7 has an action named exception_lists_find which can be used for following - Retrieves a paginated subset of exception containers,elastic kibana v7,exception_lists_find,Retrieves a paginated subset of exception containers
The connector named elastic kibana v7 has an action named exception_lists_find_items which can be used for following - Retrieves a paginated subset of exception items in the specified container,elastic kibana v7,exception_lists_find_items,Retrieves a paginated subset of exception items in the specified container
The connector named elastic kibana v7 has an action named list_containers_find which can be used for following - Retrieves a paginated subset of list containers,elastic kibana v7,list_containers_find,Retrieves a paginated subset of list containers
The connector named elastic kibana v7 has an action named list_items_find which can be used for following - Retrieves a paginated subset of list items in the specified container,elastic kibana v7,list_items_find,Retrieves a paginated subset of list items in the specified container
The connector named elastic kibana v7 has an action named rules_export which can be used for following - Exports rules to an ndjson file,elastic kibana v7,rules_export,Exports rules to an ndjson file
The connector named elastic kibana v7 has an action named rules_find which can be used for following - Retrieves a paginated subset of signal detection rules,elastic kibana v7,rules_find,Retrieves a paginated subset of signal detection rules
The connector named elastic kibana v7 has an action named rules_get which can be used for following - Retrieves a single rule using the rule_id or id field,elastic kibana v7,rules_get,Retrieves a single rule using the rule_id or id field
"The connector named elastic kibana v7 has an action named signals_search which can be used for following - The signals endpoint is for retrieving, aggregating, and updating detection alerts",elastic kibana v7,signals_search,"The signals endpoint is for retrieving, aggregating, and updating detection alerts"
The connector named elastic kibana v7 has an action named spaces_get_all which can be used for following - Retrieve all Kibana spaces,elastic kibana v7,spaces_get_all,Retrieve all Kibana spaces
The connector named elastic kibana v7 has an action named tags_get which can be used for following - Aggregates and returns all rule tags,elastic kibana v7,tags_get,Aggregates and returns all rule tags
The connector named elastic kibana v7 has an action named apikey which can be used for following - Authenticates using an API Key,elastic kibana v7,apikey,Authenticates using an API Key
The connector named elastic kibana v7 has an action named http_basic which can be used for following - Authenticates using username and password.,elastic kibana v7,http_basic,Authenticates using username and password.
The connector named elastic kibana v7 has an action named connector which can be used for following - Elastic Kibana Connector,elastic kibana v7,connector,Elastic Kibana Connector
The connector named zscaler has an action named add_firewall_filtering_policy_rule which can be used for following - Adds a new Firewall Filtering policy rule.,zscaler,add_firewall_filtering_policy_rule,Adds a new Firewall Filtering policy rule.
The connector named zscaler has an action named add_ip_destination_group which can be used for following - Adds a new IP Destination group.,zscaler,add_ip_destination_group,Adds a new IP Destination group.
The connector named zscaler has an action named add_ip_source_group which can be used for following - Adds a new IP source group.,zscaler,add_ip_source_group,Adds a new IP source group.
"The connector named zscaler has an action named add_network_service which can be used for following - Adds a new network service, at least one destination TCP or UDP port must be provided.",zscaler,add_network_service,"Adds a new network service, at least one destination TCP or UDP port must be provided."
"The connector named zscaler has an action named blacklist_urls which can be used for following - Adds a URL to or removes a URL from the denylist. To add a URL to the denylist, set the action parameter to ADD_TO_LIST. To remove a URL, set action to REMOVE_FROM_LIST.",zscaler,blacklist_urls,"Adds a URL to or removes a URL from the denylist. To add a URL to the denylist, set the action parameter to ADD_TO_LIST. To remove a URL, set action to REMOVE_FROM_LIST."
The connector named zscaler has an action named create_url_category which can be used for following - Create URL Category,zscaler,create_url_category,Create URL Category
The connector named zscaler has an action named delete_firewall_filtering_policy_rule which can be used for following - Deletes a Firewall Filtering policy rule for the specified ID.,zscaler,delete_firewall_filtering_policy_rule,Deletes a Firewall Filtering policy rule for the specified ID.
The connector named zscaler has an action named delete_ip_destination_group which can be used for following - Deletes the IP destination group for the specified ID.,zscaler,delete_ip_destination_group,Deletes the IP destination group for the specified ID.
The connector named zscaler has an action named delete_ip_source_group which can be used for following - Deletes the IP source group for the specified ID.,zscaler,delete_ip_source_group,Deletes the IP source group for the specified ID.
The connector named zscaler has an action named delete_network_service which can be used for following - Deletes the network service for the specified ID,zscaler,delete_network_service,Deletes the network service for the specified ID
The connector named zscaler has an action named get_firewall_filtering_policy_rules which can be used for following - Gets all rules in the Firewall Filtering policy.,zscaler,get_firewall_filtering_policy_rules,Gets all rules in the Firewall Filtering policy.
